0,1,1,1,6
1,1,1,2,5
2,1,1,3,4
3,1,1,4,3
4,1,1,5,2
5,1,1,6,1
6,1,2,1,5
7,1,2,2,4
8,1,2,3,3
9,1,2,4,2
10,1,2,5,1
11,1,3,1,4
12,1,3,2,3
13,1,3,3,2
14,1,3,4,1
15,1,4,1,3
16,1,4,2,2
17,1,4,3,1
18,1,5,1,2
19,1,5,2,1
20,1,6,1,1
21,2,1,1,5
22,2,1,2,4
23,2,1,3,3
24,2,1,4,2
25,2,1,5,1
26,2,2,1,4
27,2,2,2,3
28,2,2,3,2
29,2,2,4,1
30,2,3,1,3
31,2,3,2,2
32,2,3,3,1
33,2,4,1,2
34,2,4,2,1
35,2,5,1,1
36,3,1,1,4
37,3,1,2,3
38,3,1,3,2
39,3,1,4,1
40,3,2,1,3
41,3,2,2,2
42,3,2,3,1
43,3,3,1,2
44,3,3,2,1
45,3,4,1,1
46,4,1,1,3
47,4,1,2,2
48,4,1,3,1
49,4,2,1,2
50,4,2,2,1
51,4,3,1,1
52,5,1,1,2
53,5,1,2,1
54,5,2,1,1
55,6,1,1,1
